"model","accuracy","attack_precision","attack_recall","attack_f1","normal_precision","normal_recall","normal_f1","tn","fp","fn","tp"
"rpart",0.782558552164656,0.963421759962604,0.642406296267436,0.770827489481066,0.671909630371059,0.967768509937185,0.793147101021183,9398,313,4589,8244
"randomForest",0.774174946770759,0.967738037699372,0.624094132315125,0.758823250746127,0.661900756938604,0.972505406240346,0.787689228074565,9444,267,4824,8009
